Branch_no,Manager_Id,Branch_address,Contact_no
1001,151,"Palayam, Thiruvananthapuram",987-654-3210
1002,152,"Kottarakkara, Kollam",987-654-3211
1003,153,"Aranmula, Pathanamthitta",987-654-3212
1004,154,"Ambalapuzha, Alappuzha",987-654-3213
1005,155,"Ramapuram, Kottayam",987-654-3214
1006,156,"Vytilla, Ernakulam",987-654-3215
1007,157,"Ottapalam, Palakkad",987-654-3216
1008,158,"Nilambur, Malappuram",987-654-3217
1009,159,"Nadakavu, Kozhikode",987-654-3218
1010,160,"Nileshwaram, Kasaragod",987-654-3219
1011,161,"Thalassery, Kannur",987-654-3220
1012,162,"Guruvayoor, Thrissur",987-654-3221
1013,163,"Vythiri, Wayanad",987-654-3222
1014,164,"Kattappana, Idukki",987-654-3223
